id,name,price,url
0,ティファール 電気ケトル 「ジャスティン プラス」 シンプルモデル ホワイト 1.2L KO340175,6560,https://www.amazon.co.jp/%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%AB-%E9%9B%BB%E6%B0%97%E3%82%B1%E3%83%88%E3%83%AB-%E3%80%8C%E3%82%B8%E3%83%A3%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A2%E3%83%87%E3%83%AB-KO340175/dp/B00LGM4T1W/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=tfal&qid=1589109264&sr=8-2&th=1
1,Nintendo Switch 本体  Joy-Con(L) ネオンブルー/(R) ネオンレッド,29980,https://www.amazon.co.jp/Nintendo-Switch-%E3%83%8B%E3%83%B3%E3%83%86%E3%83%B3%E3%83%89%E3%83%BC%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81-%E3%83%8D%E3%82%AA%E3%83%B3%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%90%E3%83%83%E3%83%86%E3%83%AA%E3%83%BC%E6%8C%81%E7%B6%9A%E6%99%82%E9%96%93%E3%81%8C%E9%95%B7%E3%81%8F%E3%81%AA%E3%81%A3%E3%81%9F%E3%83%A2%E3%83%87%E3%83%AB/dp/B07WXL5YPW/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=L6BI9CKGKMP0&dchild=1&keywords=swithc+%E6%9C%AC%E4%BD%93&qid=1589109019&sprefix=swith%2Caps%2C282&sr=8-1
2,PlayStation 4 ジェット・ブラック 500GB (CUH-2200AB01),41999,https://www.amazon.co.jp/PlayStation-%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-500GB-CUH-2200AB01-%E3%81%8A%E5%A5%BD%E3%81%8D%E3%81%AA%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E3%82%BD%E3%83%95%E3%83%882%E6%9C%AC%E3%82%BB%E3%83%83%E3%83%88/dp/B07F76K6FJ/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%83%97%E3%83%AC%E3%83%BC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B34&qid=1589109481&sr=8-1
3,Echo Plus (エコープラス) 第2世代 - スマートスピーカー with Alexa、チャコール,"17,980",https://www.amazon.co.jp/dp/B0794RJSSY/ref=fs_ods_fs_aucc_lid
4,Echo (エコー) 第3世代 - スマートスピーカー with Alexa、チャコール,"11,980",https://www.amazon.co.jp/dp/B07P86XC4P/ref=fs_ods_fs_aucc_pas
5,Echo Dot (エコードット)第3世代 - スマートスピーカー時計付き with Alexa、サンドストーン,6980,https://www.amazon.co.jp/dp/B07NQ8Y8FZ/ref=fs_ods_fs_aucc_doe
6,Echo Flex (エコーフレックス) プラグイン式スマートスピーカー with Alexa,"2,980",https://www.amazon.co.jp/dp/B07PGX7GC9/ref=fs_ods_fs_aucc_cro
7,【Echo Show 5 用】 Amazon純正 角度調節スタンド ブラック,1980,https://www.amazon.co.jp/%E3%80%90Echo-Show-Amazon%E7%B4%94%E6%AD%A3-%E8%A7%92%E5%BA%A6%E8%AA%BF%E7%AF%80%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B07P7SF9WQ/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%80%90Echo+Show+5+%E7%94%A8%E3%80%91+Amazon%E7%B4%94%E6%AD%A3+%E8%A7%92%E5%BA%A6%E8%AA%BF%E7%AF%80%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89+%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF&qid=1589113137&sr=8-5
8,【Echo Show 5 用】 Amazon純正 角度調節スタンド ホワイト,1980,https://www.amazon.co.jp/%E3%80%90Echo-Show-Amazon%E7%B4%94%E6%AD%A3-%E8%A7%92%E5%BA%A6%E8%AA%BF%E7%AF%80%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88/dp/B07PB2MKXB/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%80%90Echo+Show+5+%E7%94%A8%E3%80%91+Amazon%E7%B4%94%E6%AD%A3+%E8%A7%92%E5%BA%A6%E8%AA%BF%E7%AF%80%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89+%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88&qid=1589113202&s=amazon-devices&sr=1-3
9,Echo Show 8 (エコーショー8) HDスクリーン付きスマートスピーカー with Alexa,14980,https://www.amazon.co.jp/Echo-Show-8-%E3%82%A8%E3%82%B3%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%BC8-HD%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E4%BB%98%E3%81%8D%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%82%B9%E3%83%94%E3%83%BC%E3%82%AB%E3%83%BC-with-Alexa-%E3%83%81%E3%83%A3%E3%82%B3%E3%83%BC%E3%83%AB/dp/B07SHC76CH/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=Echo+Show+8+%28%E3%82%A8%E3%82%B3%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%BC8%29+HD%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E4%BB%98%E3%81%8D%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%82%B9%E3%83%94%E3%83%BC%E3%82%AB%E3%83%BC+with+Alexa%E3%80%81%E3%83%81%E3%83%A3%E2%80%A6&qid=1589113364&sr=8-3
10,Echo Studio (エコースタジオ)Hi-Fiスマートスピーカーwith 3Dオーディオ&Alexa,"24,980",https://www.amazon.co.jp/dp/B07NQDQWW6/ref=fs_ods_fs_aucc_oct
11,HP 15-db0000 15.6型フルHD液晶ノートパソコン,58980,https://www.amazon.co.jp/%E3%80%90Office%E3%82%BB%E3%83%83%E3%83%88%E3%83%BBSSD%E6%90%AD%E8%BC%89%E3%80%91HP-10%E3%82%AD%E3%83%BC%E4%BB%98%E6%97%A5%E6%9C%AC%E8%AA%9E%E3%82%AD%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%89-R3%E3%82%B0%E3%83%A9%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%82%B9%E6%90%AD%E8%BC%89-15-6%E5%9E%8B%E3%83%95%E3%83%ABHD%E6%B6%B2%E6%99%B6%E3%83%8E%E3%83%BC%E3%83%88%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3-%E3%83%A1%E3%83%A2%E3%83%AA8GB%E3%83%BBOffice%E3%82%BB%E3%83%83%E3%83%88/dp/B07S32HQF1/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=HP+15-db0000+15.6%E5%9E%8B%E3%83%95%E3%83%ABHD%E6%B6%B2%E6%99%B6%E3%83%8E%E3%83%BC%E3%83%88%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&qid=1589111753&sr=8-1
12,エプソン プリンター  PX-105,6382,https://www.amazon.co.jp/%E3%82%A8%E3%83%97%E3%82%BD%E3%83%B3-%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC-A4-%E3%82%A4%E3%83%B3%E3%82%AF%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88-PX-105/dp/B008ZUOWIS/ref=sr_1_4?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%82%A8%E3%83%97%E3%82%BD%E3%83%B3+%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC+PX-105&qid=1589114253&sr=8-4
13,アイリスオーヤマ 炊飯器 マイコン式 5.5合　 極厚銅釜 銘柄炊き分け機能付き,6680,https://www.amazon.co.jp/%E3%80%90Amazon-co-jp%E9%99%90%E5%AE%9A%E3%80%91-%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E3%83%9E%E3%82%A4%E3%82%B3%E3%83%B3%E5%BC%8F-%E9%8A%98%E6%9F%84%E7%82%8A%E3%81%8D%E5%88%86%E3%81%91%E6%A9%9F%E8%83%BD%E4%BB%98%E3%81%8D-RC-MA50AZ-B/dp/B01MT3038J/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E+%E7%82%8A%E9%A3%AF%E5%99%A8+%E3%83%9E%E3%82%A4%E3%82%B3%E3%83%B3%E5%BC%8F+5.5%E5%90%88&qid=1589114473&sr=8-3
14,シャープ  全自動洗濯機　ES-GE7D-W,"43,241",https://www.amazon.co.jp/%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%97-SHARP-%E3%83%9C%E3%83%87%E3%82%A3%E5%B9%8552-0cm-%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%E7%A9%B4%E3%81%AA%E3%81%97%E6%A7%BD-ES-GE7D-W/dp/B0819T2X91/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%97+%E5%85%A8%E8%87%AA%E5%8B%95%E6%B4%97%E6%BF%AF%E6%A9%9F+ES-GE7D-W&qid=1589114543&sr=8-3
